cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;same_class
001000001010000000101110110100000001100010000001100100100010111010000001011100000101010100000010100000100000111000111110111010111011000100000010000011001110001000001001100100000111011000100010010000111010000000000010,11011111011011011101000101010110110101010010101100111010110111010000000110010000011000000011011001011001,1111010101010101110000111011111001001011100100111100111000011110001101100001001010010000,1011000101001011100100111010000111010100111110010001110100001011,110000000001101101000110011001111000111001010101,101001011011101110001000,000110001101001000000010,1101110001001000,00011101,10000100,00000100;011100111100001010101100100010001010001000110000010010010011000001011001010000000100101001010010100110011000000011000000011001111011011100001000101101010111110000000000000100010100000011100010001010111011000001100000,11011011010010110110101101101000001111001110000101010101100010000000010110110011100010010100110001100100,00000100101011101101010011000111010001011111110100100000011110100010101010110111,100001001110100001100110111111111000000100111010,1101000100101101101111011000001101101000,11001001,010001011111101001111001,10100000,01000000,01000000;50;100;50;100;0.01159811019897461;2;1
100000111111000000110000001111000000000100100000001001010000000000111101100100111101000010000100000100001010100000110010000100110000011000110010001100000010110001100000110111000111010010101110011100101101101010000111,0111100101111000100100110110011001100001000111010011101001111100101111001011000110001011001010000111000101011011,1011010110001011010111100010111011011101000001000011000101100101,00110010001111011001111111000000001010100110001101011000,11010001110100101100110101101010,10001000111101010011111011000010,1010010000011011,1110000110100100,01010101,11000000,00000001;011101011010100101100100101000000000110010001111011010100001110110010010001010011110000001101001001001001000000110011000000001100000111011010000001000000001000011101010100010001101010000000010110110101000011000010000,1110100001011001110101010011110001110101000111110111110101100101010011100100000100110000011011110110010011111001,0011111100110111001111110000110100001011011110010100010101001001001111000111101001100110,1110100101101001100010110010010101101111010010101001010101010010,0111011000001011011101100001110011001010,11110100000000001100110111110000,100011100010001110001011,0000010000011011,01000100,00110110,01000000,00010000,00010000;50;100;50;100;0.012609243392944336;2;1
011000001110100011100100000101111001010101001000100010111000001010010011001101100000000011101110000110101000001000010000001101100111000110100100000010101111000010001000110001011100000000110101010010100000000000100011,01100010000011000100011010011011100010000001101010110101111011100000100110001111111111010000101000111100,1001000000110000011111000001001111110000100001110011110010101001,00001111000101111001101010101010100111010011010010011001,11000000110000111001010011101100,000011010001011010110110,0001110000101111,0100011000010101,00010000,00000100;000001111001011000100000010100100001001111010000001001111011101110100011111101110100000010000000000010110000010000000110000100010010101011011000100101100100000111100100010111100010000001010001100000001100111010100010,10011101111111000000010110001111001111010011101011001011110101011011101011100100000000010000100000011101,00000111110001111001001101010011000101011101001110101000100000101001010011110111,000101011000101000001010011111101100010101110000,0110110011100101001001101010010100110001,001100110010000000010011,0000111010000011,11100100,00011000;50;100;50;100;0.023185253143310547;2;1
001110000000000000000100001100101010011011101010000000001001100011110110010001100010010011011101010001101000110011000010111001011011010110100101010000011001010001010100101011100011001000000101000100000110010000000011,0001101000111111111100001110010011110011011010001011100110000001001000110011111010000000000001000100110000111110,1000011010001111110101110010111000010110010010010010010101000110,000010011000101000010111011111011101110101110101,0111000011010011010101001000101001001011,110100100100101011110000,010110101000111100001000,1000000000101001,11000010,10000000,01000100,00000010,00000100;100000000100000010100001000010000000010001100111100111001010000001000111011000100000101000010011000100000101001001100100101111010001000110010001000010011011001111000110011010101000111100010010010100011001000000001100,11000110001111100001011011101000111011001010001101011001101000011010111001010000111010111000111110101000,110011111001101000100110011100001001000111000011001010010101011000011001,110110001011101100011101100111000110010100101000,0000110010110111100100101110000101010000,111000100110101011000011,0010000011101011,0001000101010110,10100100,10001000,00010001;50;100;50;100;0.010056734085083008;2;1
100000001100011100000111101011001110000000101001010000100011110100001010000010010011100100101111000000000000010010001100100101010100001011100111000000100101100011110010000101100011011000011101001100110110000001000000,01010000001001111111101110001111100110000000000110110100000101000001000100110000010010111101001101100101101011011011111110100111,00010010001001101010010000110100000011101001000011101011000110001010110111101001,11100000010010011101001001001001101100011001111000100110,0100100111000011000101011100111111110001,11100101010100001101110010000100,001000010001011100001011,10010101,01011100,00001000;111111000000100000110100000000110001110001100000011011011000100001000010111010010011100011000101000100011000000010000010101100110001100011011011100001000100010111000101100010101000001000000000010010100010000000010010,100111111011101000100000111001010001111101010101100101100100111101001100010001111100111000101101,0010111100011011111001000001011011000110001100100011001110001001011001000011000011000101,1000010111010111101011100010010010000001,0100111001011011110100011010000010010000,00101110,111010010000101101010001,00000100,00000001;50;100;50;100;0.01181483268737793;2;1
001111001011000110110000101000110011000010001110011000101010000100011100100000011000110000001110000000111000001011001101001100101000000000000101000000010110110010000000000000101000001100010001100100110010101011001000,001101110100111101011001100100110001010000001100011101100001011001001101000010001110001001110011,01001000010111001001101011110101001001010001001110010101,010011110111100101100001011010010111001100100001,10001000011101011101101011111001,00111101001011010101001000000100,0001111000010001,00111000,00010000,00001000;1110110101000000100000011000001001010000000101000110000001111000011110111010011011010011001110101001001000110000000110000011100100011000110000000100010010000100001011000001111000010010,000101001101101010011111011100001101010110111111011111110011100110000111,10110111101000001100100100111010111111111100011101111100,0111011111010010010001100000001011111111,101100101100110011001010,110010010110101110100110,1100001001111101,0111000010111100,10011010,01100100,00001100,00010000;50;100;48;108;0.018110275268554688;2;0
000100010001000010100010100000100010011110110010100001000001010011000001000111000100010101001011001001110100100000110010101000000001000001100000111100110001110100010010111111000000000001011010001000100110010000011010,101001000010110110011100110010000100111101100110101110010001001110101111100001111000100111111100,110110010111101001110100110001011000110111010101100000000001001010001001,000101111010011000110111010011010110101101010100,0001110100100011011010111001110001000110,0101111011110000,010110101010101000000011,1000000101110010,00001011,00101000;1100001000001000001010010010000110000001000110100011100101000101000000101000000001010101100101001000000001011001110101001000000101010001100000000101110010001010010101011100001000011000000001000111010100000000110011010000001000011110,111000000100001110111101000010011011010001010010010100010000001001101110010111101101000101000110100011100000010010000000,1001001100010000001010101001101000011001001001001101000101000000011011110000101110000010,10110000100000100000001011100101110011010100101000010010,0100001110001001011110001110000111010000,001101100110100001000000,1110001000110010,0010000001001011,00001100,00000001,00000001;50;100;44;118;0.019519805908203125;2;0
100001010000011000001010000010001010011010000000101101001001110001101001101111100000001100100110110011001110010010100011000110101101010000100001010001110001000001000001000110111000000010010100000100010000110000011000,110101001111011111010010000111111001011100100110101000000001001000011010111011001100001111000000,01110001111111010101000001110110001000110001111000110011,10101100110000110010100110000001111111010010001100010101,0100001000111011100010100101011010100100,111000000000111110100100,1010100011001111,1011000001010111,00101101,00011101,00001010;110000100001001010100010100001000010010101010100001010110011001000001100111010011011011100010110000001100100011100100000000001000100000111001100110110010010011000001000100110100110100000010101,01111100111111111100111010010100000111110011011111010110011011000101101100001011,101101110110101101110110011100111100011100110111110001101100111101000101,00100111111100110001111010111010110100010111011011100010,1110101111001001010011001111101110101111,0011100110011100110000101010111010000110,010000111000011101101101,100010011011101010111010,1011111000011101,1100101010100101,11110001,10110001,00001101,01000000,01000000,00000010;50;100;44;90;0.010339975357055664;2;0
010101100010101111100011010000001110111000001001101000100101001010000011010101001101001001000100000000111000010100010101000000000010000000011001000000001011010001001010100001100011001100010101010010000100110100100001,11000110000000100100010000111000100100001010011110011001101110110111000011100011100110110111101000101101,0100111101110010011001000000111010001111011010011000010010111011,1000011101110000101101000011011110011000,1010010110110110000110110001111000111100,101100010001000000111100,1100011000010011,1111001110000101,10101011,01110010,01010100,00001001,00100000,00000100;11100011111011110101010011100001011110100100101100110010000000000000100001110010000001011010010000010111010100100010100110001110101101010010010111110001100001000000010110000001,1111011100110101100010010110000110010110111110100111001010110111110001111001111100011111,110001000111011101101111110100011110101100100101,10110101011001011011101000110100101111000110111011011011,00010101111111010011110001010100,0111000010011010110100011010101111110011,0010101001111111,00000101111001111100111010100000,00110010,0001010101010110;50;100;45;85;0.01725482940673828;3;0
110001010000001101000010110101000111111101101001100000111000011011110100000001010001101001101110000010000000000010100000000000000010011011000100011000001100101010000110100101010100101000111010100101000001111010101000,01000110111101010010111010100110110001000110101101000110001000111000100001100010000111100110011101110101,010111010111001110001101001000100011101011100000001110011010001011010101,1100001001001110011110100000001001100011,00000000000011110111111001111010,0100100011100101,100101111111001001100000,00100101,10010101,10000100;1000000100100101011100100000001001100110111010000001000110001110100001000011000100110001100000101000001100011011011010111001000110010100100100010001100010000000001010000100001011000000110000000101000010100110001000001000000010001011110100101010010100100001,1110000110100100000111010110001000010111110011010011000100100100111110101010110111000111100100000000011101111000,0110000100001111000001100001011001111110100101110010100001101001111010111100001000110011,10110010010010011010110100010111010000000100110011111011,01110000001111100001001001010010,010101101000011001010011,01000111,11000000,00001110,10000000;50;100;45;85;0.014423370361328125;2;0
