cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
101100111111011010010010000000010000011111011000110101000100100011100001000100100101110000101100000000000101001000001101000101100010100110001000000011100110000000100101010111011010010110000101010010111010100001001000,1111110100100110001001110100000010000100000100111100100101101110110011000100110111101010100000011101010101101100,100110001010100001110110000000110110100100010110010000010101001011100010,01001000000011000111001001110111100000110001010110011111,01101100010101110010011010101100,100110000010100100000110,1011000111000001,11000111,1010010100100010,11000011,01110100,00000100,00010000;001001000100110010100110101100000001111010011011001001100001000000011010000011010000111100011000010000101000110011101000000000001110111111000010100011010100001100100101100001001001010101001100111001011000000010111110,00001011100011001010001011011111011101100001111000101011011010000001110000010000000000001001011010011111101110001001101100100110111000100001111100100110,011100001001001001010101001101111101011000010001101100011011000010011001,1101100000110111100010110110100010100001100001010001001110011010,1100011010100011011100110001000101111010,000111001010011011101001,11110000,0000101001000110,00010010,01000000;50;100;50;100;0.01166987419128418;2;1
010110000101111100111010000000001000011010001001100000110000010011100000101111110011011001110000100100100001100100110101110010001000101000110111011100101001100010000000010110001011100011000010010000000000000001101110,01001111000110110110011100100000100101010100101010101011011111110110101110010000011111011110110000010001011011010111011101110100,111100110111100000111001010111001000111101001010000001101110000000000111000111100110010011010100,0101111110010001100101001010010000010011010010010110001110111100,011001111110010101000110100010011010011010010111,0001000101011000000010011011000011101100,1000011010000111,0101001010000010,01001100,11010010,01010000;000111001011100010000100000110000101001111101001000000000100101010001010100100010100110010111110001100001101000000111000100101011000001010001010000100110000000100110011011001001001000001011110100000010010100000010100,001000011000100111010111111110111001011001100011111010110010111001101110010010010100011101011110100000001011100110010001,00110010001101110110100010110110000011000101110100010101100000111110010110111101,0000100101011110100111101000001111101000011100111000100111001100,0001010110101000010100101100100111011100,110110011000011010110100,000000010011101101001011,00111110,1011010101011000,11000010,01010001,00000100;50;100;50;100;0.010745048522949219;2;1
100010000001010010010100000110100101010011000110000011110010010000011000101100000000110010010001110010000100011000000010000010000011011011100010110010000010010000101001010001000001011000100101011110001001110000100111,01111001000100110101111110001100001111100101001001000010001000011110000010100100001001101101000101010000,0110010100111001100110001000001011100111001010011010001000011100,0001100111001001001010110101101100010100,00101010101100010110110011010100,110010100000101010001101,0000001010010011,01001000,00001001;101001010110010000000011110110110110000010110000101100000000000001100100100000011100100010101001001010011101000010000000010101010000100100111001111000000100001101100101011000000001010000010011010010010001101010110011,1000000000011001101101000110101000011011000001001000111000100001101011101111111111001000101111100110111101010101,010110111110100010100101101100100010111010100110001110101111000000011100,000010101101110100000010010001111110111010001011,0110010010010101001011101001010101010000,10111001100011000010001000001100,0111110100000100,1010110100101011,10001001,01011010,00000100;50;100;50;100;0.007570743560791016;2;1
010001000001100000001001010000000011000100001000000000001010000110011000100100000011110100111000011011011100010001101110110000010111000100001100100001110100100010001110010011000100000111111100001001110000001001100001,1000011000000000101100110100010000000101011000001111100111111010101101101101111111001000110110011011000011101011,1011000111110101100100011010101010011011011001001001100001000101,000100110000010110000100000111011001101001111011,10011010110000100000110111010100,011010101110001010010101,0011010111001100,1111000010000101,10010001,10001001;000001101100001001110001100000010101011000010100110000010100000000101001000010010110101100110000100100100101010010011001000000101100000000000000010000000100100011011111110100100000000100011001110101110000101001100000,1111110101111010111110011001100100110011001111111011000001010001001000100100100010001000110110110111100010010001,11110110001110101110001100010001110101000000111010011010010101001110000011000100,00110001100110000110111111001100010010011000001001101111,1010011000111011110000001011001011000111,000101010111001010011000,1001111000101100,1101110001000011,11101000,0110100100110000,00000100,00100001,10000000;50;100;50;100;0.017640113830566406;2;1
011110100101000000101010110000100000100000001001110010011000000000010101001101100100000001010100010100101000010011000100110011000010001001000100011110111100011001110111001110100000010010010000001110101110010001001100,1101001011000000111010001101000011011011100110101010101110001101100101110000000110001101,1011000110111101000010100011010101110110001000101111010100011101,011010101000101101000000110111110001001111111001,110011001111100110000001,000101101101101010010011,1011010000110101,0010010111100101,0000010110001110,00100010,00001010;000000000101001000000110000000110001000000000010011001111000001001100001111001111110000010001011000010111100011101110011001010110000100010010010001011101011010000110100010110001001001010101000000010000111011110010000,00111000101111101111001010110100000011111011100101101010000101010111100010100001011110111001100100011101,010110011000011110100000011111100111010110110100010100110111111111110010,0011100010001110110100111110101010111110010011111001000111101000,010011010111011100111101010110111001110001001000,0000010001100101011001101100111001100101,100010011110001100111011,01110101000000011011100000111000,11100100,0000101111000100,01100000,00000001,10000000;50;100;50;100;0.026061534881591797;2;1
110010111001000110100000111001000010000100000010110010100000001000100100100100110110000000100001100011000100010010010011101000111010011000100000111100100101011001110111010011000010011110010100110010000010000000101100,1110000001110010010111100010000000101010000100111010101010000111011110101011001100110000011001100011100101001110,0000001100000001010100000001011000111111111011001110011100101111,010011000111001000110010000101110100110001101101,001001001010010010110100,000001011011011000110110,1000110001011010,1011110101000000,10000001,00100001,00000100,00001000,00100000;1100000001100010101001000010100000100001000000100010100101001000110100110001100011000100010001111010000000101001000101100010101110110011010000100000111101100010010000011001000110010000001100011000111000001000100000001000100001001000000100000111111100111011,01001000000010000010000010101111011001010000110001011001111000000011110100011000110000000001100100111011011111100110000111111010,1011100100011101000010011011011101101110000010010111001001001101,10001001010011011000010011001010001000010010001011011011,11000001100100010111010000011010,000000100110001011100101,101001000101100101010001,01001001,01011000;50;100;41;89;0.01062631607055664;2;0
000101001110000100000100011110000001110111001011110000000010010100000100100010100111100110110101001111000000011010000100001000010001011100011101011010000100100001001001111000001010101000110000110100010010001001001000,0000010101001101100000001110000100110100110110000101001111010010111110100110110111110010111011111001001010111100,000111011000000010000000010011000110111011011000100011111101001101011011,011011011100101010111100000010101011100100001111,010011110011000010100111,011100001000110110101000,00001001,00010110,10001100;000110001100000011110001001101000100010001101000000000010010000111010100100000001111100101000110001101000110100000000010101101011101010001101000101000010000110000000000101111000000010000000101001100110111000010010010,00111110100010010100011110000011110011001011011001101100111100110001100001010010011000010110100011110000,1011000010101110010101010010000010101110111100110011001111110010,1001001110100011101110101100100001001001,001110010100011101001010,110000001011000001101010,01011100,00010110,01000100,00010000;50;100;56;114;0.009427547454833984;2;0
000010000010000001000101111000000101000010101000101000101011111110010001110000001101000010110100000011001101011111110011000000001101000010110001011110000010000101001001100010101000100000011101111010001110000110001100,1111010111100000001101000110101010100110010010111010100010011110011111010001011010001011010101010100010000011101,000110101101000100100000010101111100101001000110001111010101101010101011,10111101101110010000010011001001001101001000001100110000,010111100101011001100001,010111101100110010001001,10000010,01001000,00000001;111100001001100100011110011010010010010101011011100010010100000111000110100000000000110100011010010100100011000010110001000011100000000100100010011011000110100101001001000000110000010100100110,01000000001010001101110101010001111101010101101010101111011101100111111011000111,1101011001111100111010011110000010001000100010000011011000110101,1000111011001000010101101101010011000000,101101100010001111000000,1101100110101110,0000010110101011,11000100,00111010,00010011,11000000,00000010;50;100;57;88;0.017000198364257812;2;0
000001010100001011110010000111100110010101100000010000001011000101001010010001011111010001000010000001000111000000001000100001001000001100000100010011010011000101000100111011000000001010110110000000001101000111000001,010010000010101001101110010011001011010101111110110101001111110000000111000100111111110100011010,01110100001011000011000101110011111111101010110000010001010000111010010110001111,10010001001011001111100100010111100010001010100010011111,0100011000001000111010001011001100110000,000100010011100010001010,0111101111100100,0110111011000110,1110000100010100,00111001,10100001,00100000,00100000;0000001011100111000110000001101000001101110100010111100000101000010000010110010101100100111110010111000000010101010100100010000000100100100010000110000010110001000001000001100010110100000010000010111110100110,0011010110101001011010001100111011011010010110111101101100011100010111001101001010001111101010101011011100010000,0110111101011010110000001001001110111101111011001110001000100100000111101000010100010010,11110100010010101110011011010111000110101000010110110000,011010110001100111001010001111100001010100001110,001000001100011101000111,000010100101000110010100,01010011,0110000110001100,00000100,00100000;50;100;42;104;0.01817798614501953;2;0
000100100110100110110011001001000001100001100000101110101000110110010000000000000111001010101000100100011000001001011101111000000100000101110110011010000011100110001011001011110100010100100011100100000001010001000001,010100001011011010100011110011001101101011011000111001100110010101001101101011001100110100011000001001111000010101111000,000100101001111110011011111110000001000100110100110001010000011010001011,110000000011101111110100100101100001000110101011,101100001000011011011001001000111011011000011100,111001011101101100101010,101100011101110010011000,0100010100110100,0111111000101100,10110110,1011000000110100,00100001,00111000,00100000;11011000111000100000010000100000000100100110111100110011010001110010100100000110101110010111011000001011000010110010010000001010000101100010010011000000010101000000111010101111000100010100000000100010100000001100101010111100,10110000000011001100101111100100111101111111100111100111110001001000101100011110011101010111010101011001,1111111110110000111100011100001010000011011111001011001001111001,01100010111111001110110111000010001111111111011111101011,110010000111110011001011110000011111111110101010,1011111000111011001100011101000111011110,11011101001011001111001010010101,110111111101010001100100,010101010100100101001010,1011011110001100,1110101010010010,01110100,00001111,10010100,00110010,00100100,00000010;50;100;56;99;0.008552074432373047;2;0
