cascade1_bitstrings;cascade2_bitstrings;r1;s1;r2;s2;duration;total_tries;identical
001111001000001000100100,1000101100000000,1101011000010001,00100000,00000000,00000000;010100111001010101000000,1110100001011010,1000100110100001,00001000,00000000,00000000;3;3;3;3;0.0005559921264648438;2;1
100001100000101000111010,1110000100100110,0010110100000000,01001001,00100000,00000000;000100110010100000010000,1100110110101010,1000000100000000,00000001,00000000,00000000;5;4;5;4;0.0009961128234863281;2;1
001110101000000010101010,1010101110000010,0001010000000000,00100100,00000000,00000000;010101110110000001000000,1001101001000000,0100001100000000,10001101,00100010,00000000;4;6;4;6;0.0009968280792236328;2;1
110110101000000001000101,1000001001100111,0000010100000000,00000000,00000000,00000000;101000000010010010100010,0001111000010100,0100100000000000,01010010,00100010,00001000;1;5;1;5;0.00099945068359375;2;1
001011001000010010001000,1000101000000000,1010100000000000,00000001,00000000,00000000;000000000010010111110100,1111000100000000,1101101000000000,00001011,00100001,00000000;1;4;1;4;0.0010056495666503906;2;1
000011000110111100101000,0000101100000101,0001101000000000,00011110,00100000,00000000;000100001011011000100100,0101010100000000,0100011000000000,01000000,00000000,00000000;5;10;5;10;0.0009963512420654297;2;0
110001011000100011001001,0111111000000000,1000110100000000,10001110,00100011,00000001;001000001100100100011001,0001110100000000,0001110000000000,00011010,00000100,00000000;3;5;3;5;0.0010247230529785156;2;0
001000011000001101100000,0001100011010011,0101000100000000,00010011,00000000,00000000;101110000100000010000100,1101000000000000,0110111000000000,10000001,00000001,00000000;4;8;4;8;0.0010144710540771484;2;0
101000000101000000100010,0110000001110100,0001101100000000,01000111,00000100,00000010;001101000010000100010100,1011001100000000,0001011100000000,11010000,00000100,00000100;5;3;5;3;0.0019991397857666016;2;0
000010010001001101000000,0110000000001110,0110010000000000,01001011,00000101,00000000;100110011010010000000100,1000011100000000,1110000100111000,01000010,00000100,00000000;4;3;4;3;0.0010020732879638672;2;0
