r;s;rhat;p;k;duration;bitsize
20000;40000;20000;0.02;1;0.20258116722106934;192560
20000;40000;20000;0.06;1;0.2568190097808838;166408
20000;40000;20000;0.08;1;0.24106168746948242;157368
20000;40000;20000;0.04;1;0.24113702774047852;175672
20000;40000;20000;0.14;1;0.27143001556396484;144760
20000;40000;20000;0.16;1;0.2841060161590576;141176
20000;40000;20000;0.12000000000000001;1;0.2644529342651367;148384
20000;40000;20000;0.1;1;0.26246190071105957;154200
20000;40000;20000;0.18;1;0.27022600173950195;137992
20000;40000;20000;0.19999999999999998;1;0.21146702766418457;135296
20000;40000;20000;0.21999999999999997;1;0.3053450584411621;132984
20000;40000;20000;0.23999999999999996;1;0.30823802947998047;130992
20000;40000;20000;0.3;1;0.29587292671203613;124688
20000;40000;20000;0.27999999999999997;1;0.28530287742614746;126208
20000;40000;20000;0.25999999999999995;1;0.3000049591064453;128128
20000;40000;20000;0.32;1;0.3220338821411133;123104
20000;40000;20000;0.34;1;0.22976422309875488;121912
20000;40000;20000;0.36000000000000004;1;0.2363262176513672;119568
20000;40000;20000;0.38000000000000006;1;0.30430006980895996;119480
20000;40000;20000;0.4000000000000001;1;0.29659485816955566;117808
20000;40000;20000;0.4200000000000001;1;0.32886409759521484;117848
20000;40000;20000;0.46000000000000013;1;0.39894819259643555;115640
20000;40000;20000;0.4400000000000001;1;0.30869317054748535;116712
20000;40000;20000;0.48000000000000015;1;0.3108842372894287;115240
20000;40000;20000;0.5000000000000001;1;0.29605579376220703;115336
20000;40000;20000;0.5200000000000001;1;0.3639349937438965;115120
20000;40000;20000;0.5400000000000001;1;0.46111202239990234;113936
20000;40000;20000;0.5600000000000002;1;0.40488600730895996;114064
20000;40000;20000;0.5800000000000002;1;0.45290613174438477;115120
20000;40000;40000;0.06;1;0.9343681335449219;332304
20000;40000;40000;0.04;1;1.0904357433319092;351096
20000;40000;40000;0.02;1;1.1060607433319092;384704
20000;40000;40000;0.08;1;0.9532608985900879;317816
20000;40000;40000;0.1;1;1.0084190368652344;305600
20000;40000;40000;0.14;1;0.8707149028778076;288096
20000;40000;40000;0.12000000000000001;1;0.9589428901672363;296960
20000;40000;40000;0.16;1;1.0399088859558105;281552
20000;40000;40000;0.18;1;1.0110759735107422;276384
20000;40000;40000;0.21999999999999997;1;1.075282335281372;265128
20000;40000;40000;0.19999999999999998;1;1.088526725769043;269760
20000;40000;40000;0.23999999999999996;1;1.0678460597991943;259840
20000;40000;40000;0.25999999999999995;1;1.0625908374786377;256496
20000;40000;40000;0.27999999999999997;1;1.1396148204803467;252880
20000;40000;40000;0.3;1;1.1183841228485107;250448
20000;40000;40000;0.32;1;1.0662620067596436;246032
20000;40000;40000;0.36000000000000004;1;1.0200450420379639;240752
20000;40000;40000;0.38000000000000006;1;1.0670981407165527;239304
20000;40000;40000;0.34;1;1.2909409999847412;244776
20000;40000;40000;0.4000000000000001;1;0.989098072052002;235824
20000;40000;40000;0.4200000000000001;1;1.0105407238006592;234952
