r;s;rhat;p;k;duration;bitsize
1000000;2000000;1000000;0.02;1;11.732240915298462;9631232
1000000;2000000;1000000;0.04;1;12.721729040145874;8797000
1000000;2000000;1000000;0.1;1;13.380897045135498;7656328
1000000;2000000;1000000;0.06;1;13.442992210388184;8306624
1000000;2000000;1000000;0.08;1;13.926599264144897;7945672
1000000;2000000;1000000;0.12000000000000001;1;13.927136898040771;7425232
1000000;2000000;1000000;0.14;1;14.367393970489502;7226248
1000000;2000000;1000000;0.16;1;14.267463207244873;7053424
1000000;2000000;1000000;0.18;1;14.46362590789795;6893952
1000000;2000000;1000000;0.19999999999999998;1;13.908162117004395;6761496
1000000;2000000;1000000;0.21999999999999997;1;13.324522018432617;6633520
1000000;2000000;1000000;0.23999999999999996;1;14.566394090652466;6520272
1000000;2000000;1000000;0.25999999999999995;1;15.576866865158081;6422200
1000000;2000000;1000000;0.27999999999999997;1;16.404035091400146;6323680
1000000;2000000;1000000;0.3;1;16.293133020401;6243328
1000000;2000000;1000000;0.32;1;16.44054102897644;6157800
1000000;2000000;1000000;0.34;1;18.065521240234375;6087928
1000000;2000000;1000000;0.36000000000000004;1;18.854673147201538;6023424
1000000;2000000;1000000;0.38000000000000006;1;18.789659023284912;5965648
1000000;2000000;1000000;0.4000000000000001;1;19.321629762649536;5908832
1000000;2000000;1000000;0.4200000000000001;1;17.943877935409546;5863056
1000000;2000000;1000000;0.4400000000000001;1;19.133617162704468;5818920
1000000;2000000;1000000;0.46000000000000013;1;20.731936931610107;5786432
1000000;2000000;1000000;0.48000000000000015;1;21.186219930648804;5759216
1000000;2000000;1000000;0.5000000000000001;1;18.54243516921997;5742544
1000000;2000000;1000000;0.5200000000000001;1;16.525076150894165;5732224
1000000;2000000;1000000;0.5400000000000001;1;17.45110297203064;5726872
1000000;2000000;1000000;0.5600000000000002;1;18.4949848651886;5741600
1000000;2000000;1000000;0.5800000000000002;1;18.92090892791748;5762528
